Device Name         ,OS Version
Google Pixel 5      ,12.0
Google Pixel 5      ,11.0
Google Pixel 4	    ,11.0
Google Pixel 4 XL   ,10.0
Google Pixel 4	    ,10.0
Google Pixel 3	    ,10.0
Google Pixel 3a XL  ,9.0
Google Pixel 3a	    ,9.0
Google Pixel 3 XL   ,9.0
Google Pixel 3	    ,9.0
Google Pixel 2	    ,9.0
Google Pixel 2	    ,8.0
Google Pixel	    ,8.0
Google Pixel	    ,7.1
Google Nexus 6	    ,6.0
Google Nexus 6	    ,5.0
Google Nexus 5	    ,4.4
